"","Names","ID","pl","pb","p","pFdr","pFWER"
"1","T cell receptor signaling pathway","04660",2.08025375954955e-07,5e-06,2.97389732525677e-11,4.03930226333769e-09,5.76936081099814e-09
"2","FoxO signaling pathway","04068",2.9488845218086e-07,5e-06,4.16422913746154e-11,4.03930226333769e-09,8.07860452667538e-09
"3","ErbB signaling pathway","04012",8.71060540230091e-06,5e-06,1.08259941766555e-09,7.00080956757058e-08,2.10024287027117e-07
"4","Insulin resistance","04931",4.0766292649281e-05,5e-06,4.75207121534841e-09,2.30475453944398e-07,9.21901815777591e-07
"5","Colorectal cancer","05210",5.56671037266226e-05,5e-06,6.40232754892715e-09,2.48410308898373e-07,1.24205154449187e-06
"6","Neurotrophin signaling pathway","04722",7.75434796294893e-05,5e-06,8.78984203166092e-09,2.84204892357037e-07,1.70522935414222e-06
"7","Osteoclast differentiation","04380",9.99280095734963e-05,5e-06,1.120049749562e-08,3.10413787735754e-07,2.17289651415028e-06
"8","Pancreatic cancer","05212",0.000116659207783741,5e-06,1.29855267321597e-08,3.14899023254872e-07,2.51919218603898e-06
"9","Fc gamma R-mediated phagocytosis","04666",0.000139902417505951,5e-06,1.54456732105592e-08,3.32940066983164e-07,2.99646060284848e-06
"10","Renal cell carcinoma","05211",0.00017611675072473,5e-06,1.9241139014586e-08,3.50471213195967e-07,3.73278096882969e-06
"11","Protein processing in endoplasmic reticulum","04141",0.000182173746289069,5e-06,1.98720790987404e-08,3.50471213195967e-07,3.85518334515564e-06
"12","Insulin signaling pathway","04910",0.000214073388100183,5e-06,2.31790790076029e-08,3.74728443956247e-07,4.49674132747497e-06
"13","Cell cycle","04110",0.000313755047844508,5e-06,3.33725095803149e-08,4.98020527583161e-07,6.4742668585811e-06
"14","Acute myeloid leukemia","05221",0.000373318657061551,5e-06,3.93835332838045e-08,5.45743246932719e-07,7.64040545705807e-06
"15","MAPK signaling pathway","04010",0.000540952479457313,5e-06,5.60649959404576e-08,6.4797417244995e-07,1.08766092124488e-05
"16","RNA transport","03013",0.000546075212128306,5e-06,5.65701878421939e-08,6.4797417244995e-07,1.09746164413856e-05
"17","Fc epsilon RI signaling pathway","04664",0.000548216059900327,5e-06,5.67812419157173e-08,6.4797417244995e-07,1.10155609316491e-05
"18","HIF-1 signaling pathway","04066",0.000638639227530457,5e-06,6.56592765183585e-08,6.95157971497929e-07,1.27378996445615e-05
"19","B cell receptor signaling pathway","04662",0.000663437835186373,5e-06,6.80824817446425e-08,6.95157971497929e-07,1.32080014584607e-05
"20","AGE-RAGE signaling pathway in diabetic complications","04933",0.000744406895837495,5e-06,7.59629846207708e-08,7.09349940550085e-07,1.47368190164295e-05
"21","Apoptosis","04210",0.000752882951107814,5e-06,7.67853028430504e-08,7.09349940550085e-07,1.48963487515518e-05
"22","Choline metabolism in cancer","05231",0.00147986468927146,5e-06,1.45928548868515e-07,1.28682447638599e-06,2.83101384804919e-05
"23","p53 signaling pathway","04115",0.00174642116775193,5e-06,1.70767325821702e-07,1.44038526997436e-06,3.31288612094102e-05
"24","NF-kappa B signaling pathway","04064",0.00200417712153418,5e-06,1.9459151275531e-07,1.57294806143876e-06,3.77507534745302e-05
"25","Pathways in cancer","05200",0.0023738470367789,5e-06,2.28474659482017e-07,1.77296335758045e-06,4.43240839395112e-05
