"","Names","ID","pl","pb","p","pFdr","pFWER"
"1","Cocaine addiction","05030",8.70052094964337e-06,5e-04,8.81059564019135e-08,1.70044495855693e-05,1.70044495855693e-05
"2","Amphetamine addiction","05031",4.92477770239151e-06,0.0025,2.36545641765542e-07,2.28266544303748e-05,4.56533088607495e-05
"3","Dopaminergic synapse","04728",5.93990415659537e-06,0.007,7.48247581286978e-07,4.81372610627956e-05,0.000144411783188387
"4","Transcriptional misregulation in cancer","05202",0.106242089106877,5e-06,8.20619610754936e-06,0.000377092374231338,0.00158379584875703
"5","PI3K-Akt signaling pathway","04151",0.128023587505117,5e-06,9.76923249303986e-06,0.000377092374231338,0.00188546187115669
"6","Ras signaling pathway","04014",0.192335212469538,5e-06,1.4285301865387e-05,0.000459510543336614,0.00275706326001968
"7","HIF-1 signaling pathway","04066",0.267842628720663,5e-06,1.94499660999951e-05,0.000535338254621176,0.00375384345729905
"8","Cholinergic synapse","04725",0.308586505822781,5e-06,2.21901867200488e-05,0.000535338254621176,0.00428270603696941
"9","Hepatitis B","05161",0.423390883296818,5e-06,2.97760902954235e-05,0.000611895363707003,0.00574678542701674
"10","ECM-receptor interaction","04512",0.562484491312395,5e-06,3.87592998554743e-05,0.000611895363707003,0.00748054487210653
"11","GABAergic synapse","04727",0.588252972334581,5e-06,4.04031872700449e-05,0.000611895363707003,0.00779781514311866
"12","Fc gamma R-mediated phagocytosis","04666",0.600566816412472,5e-06,4.11867342029135e-05,0.000611895363707003,0.00794903970116231
"13","Regulation of actin cytoskeleton","04810",0.629247592547678,5e-06,4.30068803890328e-05,0.000611895363707003,0.00830032791508334
"14","Hepatitis C","05160",0.733733111049286,5e-06,4.95845191036676e-05,0.000611895363707003,0.00956981218700785
"15","Endocytosis","04144",0.737301246394271,5e-06,4.98077640410563e-05,0.000611895363707003,0.00961289845992387
"16","Insulin signaling pathway","04910",0.752009164389837,5e-06,5.07270767840003e-05,0.000611895363707003,0.00979032581931205
"17","AMPK signaling pathway","04152",1,5e-06,6.60303632276509e-05,0.000707992227940923,0.0127438601029366
"18","Leishmaniasis","05140",1,5e-06,6.60303632276509e-05,0.000707992227940923,0.0127438601029366
"19","Neuroactive ligand-receptor interaction","04080",0.0215286604426202,5e-04,0.000133900438488038,0.00136014655937849,0.0258427846281913
"20","Alcoholism","05034",0.000443071120928485,0.028,0.00015256058277628,0.0014722096237911,0.0294441924758221
"21","Pathways in cancer","05200",0.0175322120998585,0.001,0.000209535718825113,0.00185324769443703,0.0404403937332467
"22","Gap junction","04540",0.00186198994362107,0.0095,0.0002112510325265,0.00185324769443703,0.0407714492776146
"23","Long-term depression","04730",0.00301330246195809,0.0065,0.000231916914490933,0.00194608541290218,0.0447599644967501
"24","Rap1 signaling pathway","04015",0.0188211490488076,0.0015,0.000323960842254945,0.00260518510646685,0.0625244425552044
"25","Vascular smooth muscle contraction","04270",0.007284123045418,0.006,0.000482415262613527,0.00372424582737643,0.0931061456844107
"26","Pathogenic Escherichia coli infection","05130",0.104636226471107,5e-04,0.000568078858427953,0.00421689306448442,0.109639219676595
