"","Names","ID","pl","pb","p","pFdr","pFWER"
"1","Cell cycle","04110",8.29360850901884e-07,0.051,7.60445564697221e-07,0.000147526439551261,0.000147526439551261
"2","Central carbon metabolism in cancer","05230",0.0512447171836488,5e-06,4.14498413769233e-06,0.00033030877602169,0.000804126922712312
"3","Apelin signaling pathway","04371",0.0836024736433684,5e-06,6.55767554256771e-06,0.00033030877602169,0.00127218905525814
"4","Acute myeloid leukemia","05221",0.0870497706557591,5e-06,6.81049022725134e-06,0.00033030877602169,0.00132123510408676
"5","Prolactin signaling pathway","04917",0.146987195442997,5e-06,1.11147913513424e-05,0.000431253904432084,0.00215626952216042
"6","Fc gamma R-mediated phagocytosis","04666",0.281637050612115,5e-06,2.03809591080619e-05,0.000658984344494002,0.00395390606696401
"7","AGE-RAGE signaling pathway in diabetic complications","04933",0.514491982347771,5e-06,3.56816858082814e-05,0.000827294711556373,0.00692224704680659
"8","Fluid shear stress and atherosclerosis","05418",0.649733910148695,5e-06,4.43029676078273e-05,0.000827294711556373,0.00859477571591849
"9","Epithelial cell signaling in Helicobacter pylori infection","05120",0.670733757051905,5e-06,4.56281919279981e-05,0.000827294711556373,0.00885186923403164
"10","Cell adhesion molecules (CAMs)","04514",0.679365271503952,5e-06,4.61719362824279e-05,0.000827294711556373,0.00895735563879102
"11","Chemokine signaling pathway","04062",0.800555193524317,5e-06,5.37513669260749e-05,0.000827294711556373,0.0104277651836585
"12","Apoptosis","04210",0.000388384893071545,0.0105,5.46861015338422e-05,0.000827294711556373,0.0106091036975654
"13","Aldosterone synthesis and secretion","04925",0.829546675715413,5e-06,5.55503797249856e-05,0.000827294711556373,0.0107767736666472
"14","Toll-like receptor signaling pathway","04620",0.896755215645005,5e-06,5.97016802154083e-05,0.000827294711556373,0.0115821259617892
"15","Peroxisome","04146",0.00036424891110916,0.0205,9.56162758869746e-05,0.00122175961648791,0.0185495575220731
"16","Hippo signaling pathway","04390",0.0158084032171569,5e-04,0.000100763679710343,0.00122175961648791,0.0195481538638066
"17","Insulin signaling pathway","04910",0.00412102442423958,0.003,0.000152075648320923,0.00173545151613288,0.029502675774259
"18","HTLV-I infection","05166",0.00675894857716415,0.0025,0.000202571644911609,0.00218327217293623,0.0392988991128522
"19","FoxO signaling pathway","04068",0.0185198449346026,0.001,0.000220324441072922,0.00224962850358668,0.0427429415681469
"20","HIF-1 signaling pathway","04066",0.0193060816404218,0.0015,0.000331571100979065,0.00321623967949693,0.0643247935899387
"21","Oocyte meiosis","04114",0.00212090522073435,0.0185,0.00043732872965657,0.0040400844549226,0.0848417735533746
"22","Endocytosis","04144",0.0226462021818765,0.002,0.000498323845967551,0.0043943102780775,0.0966748261177049
"23","Chronic myeloid leukemia","05220",0.00855802382727602,0.006,0.00055850768097377,0.00471089087430049,0.108350490108911
"24","MAPK signaling pathway","04010",0.0273163181463496,0.002,0.000590845357484435,0.00477599997299918,0.11462399935198
"25","Fanconi anemia pathway","03460",0.00218351043221136,0.0265,0.000622457569686187,0.00483027074076481,0.12075676851912
"26","Circadian rhythm","04710",0.00867200884505017,0.0075,0.000692059285881615,0.00493605271133185,0.134259501461033
"27","ErbB signaling pathway","04012",0.136401426662545,5e-04,0.000722453943760677,0.00493605271133185,0.140156065089571
"28","Osteoclast differentiation","04380",0.137679036634093,5e-04,0.000728579053064052,0.00493605271133185,0.141344336294426
"29","Pancreatic cancer","05212",0.0465393359986264,0.0015,0.00073786354963208,0.00493605271133185,0.143145528628624
"30","Hedgehog signaling pathway","04340",0.175214901266525,5e-04,0.000906092718392705,0.00585939957893949,0.175781987368185
"31","Glucagon signaling pathway","04922",0.0230452405376305,0.004,0.000948704056302341,0.00593705119105336,0.184048586922654
"32","RNA transport","03013",0.00255376211544215,0.0375,0.000981947263850174,0.00595305528709168,0.190497769186934
"33","PPAR signaling pathway","03320",0.0223495248328883,0.0045,0.00102630865115417,0.0060334508583003,0.19910387832391
"34","p53 signaling pathway","04115",0.0025201349167215,0.0435,0.00110924246769199,0.00632920702153663,0.215193038732245
"35","mRNA surveillance pathway","03015",0.0154700624115309,0.009,0.0013755115266747,0.0076242638907112,0.266849236174892
"36","GnRH signaling pathway","04912",0.19150419553975,0.001,0.00183089517288637,0.00986649065388764,0.355193663539955
"37","Pathways in cancer","05200",0.0383651091219957,0.0055,0.00199689921844326,0.0104702283345403,0.387398448377992
"38","Prostate cancer","05215",0.234392124645445,0.001,0.00219356223752362,0.0111987124757785,0.425551074079582
"39","Insulin resistance","04931",0.101937254332924,0.0025,0.0023636350071369,0.0113444995076476,0.458545191384558
"40","T cell receptor signaling pathway","04660",0.0440797671442049,0.006,0.00244318726822729,0.0113444995076476,0.473978330036093
"41","Gap junction","04540",0.048165382293841,0.0055,0.00244673738552182,0.0113444995076476,0.474667052791233
"42","Proteoglycans in cancer","05205",0.26832803579516,0.001,0.00247487005621069,0.0113444995076476,0.480124790904874
"43","Th17 cell differentiation","04659",0.0321356241886825,0.0085,0.00251450246818994,0.0113444995076476,0.487813478828849
"44","NOD-like receptor signaling pathway","04621",0.231593453608506,0.0015,0.00311437449534212,0.0136396454122675,0.604188652096371
"45","Phosphatidylinositol signaling system","04070",0.356921891927202,0.001,0.00319016558226258,0.0136396454122675,0.618892122958941
"46","Wnt signaling pathway","04310",0.108991623382509,0.0035,0.00338420821221975,0.0136396454122675,0.656536393170632
"47","AMPK signaling pathway","04152",0.0494403604399804,0.008,0.00349456408928301,0.0136396454122675,0.677945433320904
"48","Jak-STAT signaling pathway","04630",0.132709754202598,0.003,0.00351497728750294,0.0136396454122675,0.681905593775571
"49","Dopaminergic synapse","04728",0.402667140084308,0.001,0.00355047735873223,0.0136396454122675,0.688792607594053
"50","Adipocytokine signaling pathway","04920",0.0732141996924037,0.0055,0.00355056302340595,0.0136396454122675,0.688809226540753
"51","Staphylococcus aureus infection","05150",0.814346929256508,5e-04,0.00358567997951361,0.0136396454122675,0.695621916025641
"52","Leukocyte transendothelial migration","04670",0.883728369038716,5e-04,0.00385504761184602,0.0143822930134255,0.747879236698127
"53","NF-kappa B signaling pathway","04064",0.460725776454019,0.001,0.00400034717168917,0.0146427802133528,0.776067351307699
"54","Regulation of lipolysis in adipocytes","04923",0.974477918057486,5e-04,0.00420329155457135,0.0149694842464516,0.815438561586841
"55","Oxytocin signaling pathway","04921",0.24628532183181,0.002,0.00424392594615895,0.0149694842464516,0.823321633554837
"56","Phospholipase D signaling pathway","04072",0.581671376858915,0.001,0.00491489332440132,0.0170265947309617,0.953489304933856
"57","Viral carcinogenesis","05203",0.00436724713052409,0.1395,0.00511955862663538,0.0172336272420699,0.993194373567264
"58","Hepatitis B","05161",0.0721951274052588,0.0085,0.00515232154659823,0.0172336272420699,0.999550380040056
"59","Th1 and Th2 cell differentiation","04658",0.116173751911075,0.006,0.00576361043046982,0.0189515326018838,1
"60","PI3K-Akt signaling pathway","04151",0.236855320100135,0.003,0.00586177749308923,0.0189530805609885,1
"61","Notch signaling pathway","04330",0.0422434417100156,0.0175,0.00606922340603757,0.0193021203405129,1
"62","Regulation of actin cytoskeleton","04810",0.141749611441406,0.0055,0.00635915001207814,0.019565904658251,1
"63","Signaling pathways regulating pluripotency of stem cells","04550",0.39336119601265,0.002,0.00640992698607907,0.019565904658251,1
"64","Serotonergic synapse","04726",0.792994310109519,0.001,0.00645473143364981,0.019565904658251,1
"65","Vascular smooth muscle contraction","04270",0.412584201892013,0.002,0.00668380058769058,0.0199485740617226,1
"66","Epstein-Barr virus infection","05169",0.0246811819551747,0.0345,0.0068703426612076,0.0201946435799133,1
"67","Herpes simplex infection","05168",0.457813492352423,0.002,0.0073212631787622,0.0211988814429831,1
"68","Cholinergic synapse","04725",0.549256786714087,0.002,0.0085835624049266,0.0243445161809633,1
"69","Circadian entrainment","04713",0.739691128129759,0.0015,0.00865861657982715,0.0243445161809633,1
"70","Glioma","05214",0.0944480222645508,0.012,0.00882056228941954,0.0244455583449627,1
"71","SNARE interactions in vesicular transport","04130",0.111695730730828,0.0105,0.00908731295388761,0.0246927293427877,1
"72","Ras signaling pathway","04014",0.473689365839064,0.0025,0.00916431192103463,0.0246927293427877,1
"73","mTOR signaling pathway","04150",0.41644222438731,0.003,0.00960126354972641,0.0254710948189525,1
"74","TGF-beta signaling pathway","04350",0.0163415991609951,0.0775,0.00971577843609527,0.0254710948189525,1
"75","Renal cell carcinoma","05211",0.185970921585096,0.007,0.00995094519816475,0.0257397782459195,1
"76","Breast cancer","05224",0.249636065559603,0.0055,0.0104220987649311,0.0266037784262714,1
"77","Rap1 signaling pathway","04015",0.929919071780616,0.0015,0.0105661327619183,0.026621165659898,1
"78","cAMP signaling pathway","04024",0.978362450682525,0.0015,0.0110420411219359,0.0274635381750713,1
"79","TNF signaling pathway","04668",0.108181658318924,0.015,0.0120465391171338,0.0295826403635943,1
"80","Progesterone-mediated oocyte maturation","04914",0.0869546519443567,0.0195,0.0125131511334078,0.0300151482944181,1
"81","Cytokine-cytokine receptor interaction","04060",0.8522516601907,0.002,0.0125698282341686,0.0300151482944181,1
"82","B cell receptor signaling pathway","04662",0.0861435594382303,0.02,0.0126868152584654,0.0300151482944181,1
"83","ECM-receptor interaction","04512",0.708358458275656,0.0025,0.0129917714937776,0.0303663092746127,1
"84","Thyroid hormone signaling pathway","04919",0.249538267644593,0.0075,0.013626652073063,0.0314710774068359,1
"85","Chagas disease (American trypanosomiasis)","05142",0.421671836020689,0.0045,0.0137896920358649,0.0314729441759741,1
"86","Sulfur relay system","04122",0.0364910614289283,0.0605,0.0157096169216099,0.0347199422947343,1
"87","Salivary secretion","04970",0.88841744234829,0.0025,0.0157911271899912,0.0347199422947343,1
"88","Axon guidance","04360",0.889210688211121,0.0025,0.0158032426954209,0.0347199422947343,1
"89","Influenza A","05164",0.641000155476704,0.0035,0.0159282209496462,0.0347199422947343,1
"90","Chemical carcinogenesis","05204",0.91592775131907,0.0025,0.0162102778834413,0.0349421545487512,1
"91","Non-small cell lung cancer","05223",0.112556365557719,0.021,0.0166581410695198,0.0355129600822731,1
"92","African trypanosomiasis","05143",0.456252579203507,0.0055,0.017534898731204,0.0369757647157998,1
"93","Choline metabolism in cancer","05231",0.173348151229564,0.015,0.0180771569547539,0.0377093381636802,1
"94","GABAergic synapse","04727",0.646038491086654,0.0045,0.0198867336924303,0.0410428333652286,1
"95","Endometrial cancer","05213",0.369055476195962,0.008,0.0201507893211173,0.0410673833014041,1
"96","Small cell lung cancer","05222",0.201144300127537,0.015,0.0205270910069395,0.0410673833014041,1
"97","Amphetamine addiction","05031",0.670733757051905,0.0045,0.0205336916507021,0.0410673833014041,1
"98","Gastric acid secretion","04971",0.615668226711001,0.005,0.0208815097182614,0.0413368661769665,1
"99","Phagosome","04145",0.448401999460924,0.0075,0.0225151075696206,0.0438097990572161,1
"100","Focal adhesion","04510",0.173068190139841,0.0195,0.0225823706480496,0.0438097990572161,1
"101","Estrogen signaling pathway","04915",0.859770526382377,0.0045,0.0253601820983909,0.0487116369018597,1
"102","Sphingolipid signaling pathway","04071",0.377033593393923,0.0105,0.0258584382651111,0.048832690249013,1
"103","Adherens junction","04520",0.0475590926480516,0.0835,0.0259266345136512,0.048832690249013,1
"104","RIG-I-like receptor signaling pathway","04622",0.0795147330201114,0.0535,0.027480604379958,0.0512618966318448,1
"105","Adrenergic signaling in cardiomyocytes","04261",0.91074904313009,0.005,0.0291066526233764,0.0537780057993812,1
"106","Hepatitis C","05160",0.216369943562447,0.0215,0.0296351226348082,0.0542378659542716,1
"107","Non-alcoholic fatty liver disease (NAFLD)","04932",0.612998658311734,0.008,0.0309819637324066,0.0561729062064195,1
"108","Calcium signaling pathway","04020",0.917134794698216,0.0055,0.0317257965010433,0.0569889307518741,1
"109","Morphine addiction","05032",0.683293989381625,0.008,0.0339413651620577,0.060364234170268,1
"110","Retrograde endocannabinoid signaling","04723",0.788752216153504,0.007,0.0342271430862344,0.060364234170268,1
"111","Natural killer cell mediated cytotoxicity","04650",0.4369429286524,0.013,0.0350515014190621,0.0611926166839176,1
"112","Cardiac muscle contraction","04260",0.95562022254342,0.006,0.0353276962298906,0.0611926166839176,1
"113","Long-term depression","04730",0.131621559525712,0.046,0.0369750183573124,0.0632942264439832,1
"114","Long-term potentiation","04720",0.0615899544036647,0.099,0.03719351450832,0.0632942264439832,1
"115","Pancreatic secretion","04972",0.611348028224336,0.011,0.0403620757721759,0.0680890669548011,1
"116","Inflammatory mediator regulation of TRP channels","04750",0.487774941474269,0.015,0.0432969005819104,0.0724103337318157,1
"117","VEGF signaling pathway","04370",0.529719018235377,0.014,0.0437852451058503,0.0726011756455979,1
"118","cGMP-PKG signaling pathway","04022",0.742429850294238,0.0105,0.0456365485956914,0.0750295798946113,1
"119","Type II diabetes mellitus","04930",0.843903990917688,0.0095,0.0467089974701452,0.0761474412538502,1
"120","Glutamatergic synapse","04724",0.448001682603109,0.021,0.0533077263830339,0.0861808243192382,1
"121","Renin secretion","04924",0.307131320669053,0.0335,0.0573779985157729,0.0914156869542295,1
"122","Fc epsilon RI signaling pathway","04664",0.352702497692366,0.0295,0.0579074415378902,0.0914156869542295,1
"123","Longevity regulating pathway","04211",0.378767723170469,0.0275,0.0579594303885064,0.0914156869542295,1
"124","Melanogenesis","04916",0.940534584045874,0.0115,0.0597777669363603,0.0935232805294668,1
"125","Platelet activation","04611",0.557046514450567,0.02,0.0612431369845749,0.0950493486000603,1
"126","Vasopressin-regulated water reabsorption","04962",0.438541133181308,0.026,0.062414476810894,0.0960984801691542,1
"127","Ovarian steroidogenesis","04913",0.554079600164653,0.0215,0.0646878010577597,0.098135881061809,1
"128","Legionellosis","05134",0.917432953763084,0.013,0.0647494472985132,0.098135881061809,1
"129","Measles","05162",0.677352055878037,0.018,0.0659233277858142,0.0987014815282672,1
"130","Melanoma","05218",0.235414686660851,0.052,0.0661401680344058,0.0987014815282672,1
"131","RNA degradation","03018",0.223234955870068,0.056,0.0672804052015284,0.0996366306037901,1
"132","Rheumatoid arthritis","05323",0.981304969918611,0.013,0.0683987353765531,0.100525414114025,1
"133","Protein processing in endoplasmic reticulum","04141",0.138743712149757,0.098,0.0720351297682422,0.104948290616765,1
"134","Amyotrophic lateral sclerosis (ALS)","05014",0.124007491416522,0.1105,0.0724900564053941,0.104948290616765,1
"135","Toxoplasmosis","05145",0.792994310109519,0.0195,0.0799345884438276,0.114868964134093,1
"136","Dilated cardiomyopathy","05414",0.949076970835166,0.0165,0.0807521139625377,0.115190515505385,1
"137","Homologous recombination","03440",0.103096189572497,0.156,0.0825056918398572,0.116832877495856,1
"138","Tight junction","04530",0.313864614870688,0.054,0.0860580673864627,0.120980181688216,1
"139","Pathogenic Escherichia coli infection","05130",0.295021592323191,0.0615,0.0908901422270387,0.126853867568673,1
"140","Phototransduction","04744",1,0.0185,0.0923147141176104,0.127921818134403,1
"141","Cytosolic DNA-sensing pathway","04623",0.767531829570888,0.025,0.0950483553023476,0.13077575126706,1
"142","Alzheimer's disease","05010",0.622207000273428,0.032,0.0978906191748214,0.133700601091059,1
"143","Tuberculosis","05152",0.498089672481092,0.0405,0.0989150565207721,0.133700601091059,1
"144","Hypertrophic cardiomyopathy (HCM)","05410",0.57875294497259,0.035,0.0992416832840847,0.133700601091059,1
"145","Colorectal cancer","05210",0.715902551998897,0.029,0.101203886028845,0.135403819928248,1
"146","Prion diseases","05020",0.683056322180806,0.032,0.105424493872777,0.139344670868562,1
"147","Salmonella infection","05132",0.974929020713162,0.0225,0.105722948727931,0.139344670868562,1
"148","Parkinson's disease","05012",0.751640866068661,0.0295,0.106628839737836,0.139344670868562,1
"149","Leishmaniasis","05140",0.586452945751466,0.038,0.107054413396186,0.139344670868562,1
"150","Insulin secretion","04911",0.998481341738499,0.0225,0.107740724898373,0.139344670868562,1
"151","Carbohydrate digestion and absorption","04973",0.821302545220513,0.028,0.109748692874298,0.141001631904727,1
"152","Inflammatory bowel disease (IBD)","05321",0.460315592724462,0.0555,0.119235752481586,0.152182473562024,1
"153","Amoebiasis","05146",0.965600088245783,0.0285,0.126393591054274,0.160263769049211,1
"154","Neurotrophin signaling pathway","04722",0.839459564307204,0.0345,0.131536477093908,0.165701795819599,1
"155","Shigellosis","05131",0.893602862775546,0.033,0.133400137040355,0.165986739061712,1
"156","Pertussis","05133",0.983660731725229,0.03,0.133473872647562,0.165986739061712,1
"157","Basal cell carcinoma","05217",0.976630558219539,0.0405,0.16731542506355,0.206746448804642,1
"158","Alcoholism","05034",0.702828643487328,0.057,0.168952086540023,0.207447498663066,1
"159","Transcriptional misregulation in cancer","05202",0.049046552125542,0.866,0.176644545970239,0.214717181982589,1
"160","Thyroid cancer","05216",0.318016750259504,0.134,0.177086335655743,0.214717181982589,1
"161","Malaria","05144",0.723532571823567,0.061,0.181859882165375,0.219135510186849,1
"162","Antigen processing and presentation","04612",0.781527693732293,0.0615,0.193948759536959,0.232259625618334,1
"163","Proximal tubule bicarbonate reclamation","04964",0.676081323223238,0.0755,0.202903750110347,0.2414928068798,1
"164","Bacterial invasion of epithelial cells","05100",0.948994592086059,0.0595,0.218753505605652,0.258769390777417,1
"165","Bladder cancer","05219",0.583835926076084,0.101,0.225890658932291,0.265592653532512,1
"166","Endocrine and other factor-regulated calcium reabsorption","04961",0.953068353701971,0.0725,0.253742258803244,0.29654215787849,1
"167","Aldosterone-regulated sodium reabsorption","04960",1,0.0765,0.273140537168448,0.317300983297479,1
"168","Maturity onset diabetes of the young","04950",0.932453627976791,0.084,0.277812850898263,0.320807696870614,1
"169","Huntington's disease","05016",0.864119460620643,0.1075,0.31363490941871,0.360030606078283,1
"170","Olfactory transduction","04740",0.999999999999998,0.0985,0.326793324984203,0.372045847715447,1
"171","Ribosome biogenesis in eukaryotes","03008",0.349185624317208,0.2835,0.327937319378049,0.372045847715447,1
"172","Bile secretion","04976",0.556178082837072,0.1845,0.336245545178721,0.379253696306232,1
"173","Mineral absorption","04978",0.765937368110778,0.143,0.351759700668647,0.394458855085072,1
"174","Vibrio cholerae infection","05110",0.966807665998616,0.1165,0.358580934807959,0.399797134211173,1
"175","Dorso-ventral axis formation","04320",0.529372611400625,0.2345,0.383134479225983,0.424731936970518,1
"176","Cocaine addiction","05030",1,0.1495,0.433618603479634,0.477965960653687,1
"177","Type I diabetes mellitus","04940",0.622328621690171,0.258,0.454239735687944,0.497867280923509,1
"178","Arrhythmogenic right ventricular cardiomyopathy (ARVC)","05412",0.571440979679143,0.3035,0.477280197796366,0.520181788609522,1
"179","Synaptic vesicle cycle","04721",0.755337492506467,0.25,0.503599553548239,0.545470470465576,1
"180","MicroRNAs in cancer","05206",0.710231411498859,0.268,0.506106622081463,0.545470470465576,1
"181","Complement and coagulation cascades","04610",0.997346661653967,0.1975,0.51699760893468,0.552046793833297,1
"182","Fat digestion and absorption","04975",0.378050931607721,0.5225,0.517899569472475,0.552046793833297,1
"183","Graft-versus-host disease","05332",0.782209230720586,0.267,0.535937915600426,0.568152762986244,1
"184","Allograft rejection","05330",0.522073747671261,0.4625,0.584585816221142,0.61635678449403,1
"185","Viral myocarditis","05416",0.844998815086666,0.295,0.595566989006657,0.624540518201575,1
"186","IL-17 signaling pathway","04657",0.821252435759173,0.354,0.649878093419568,0.677829839373098,1
"187","Thyroid hormone synthesis","04918",0.980814701807549,0.313,0.669532709527012,0.694595431274012,1
"188","Taste transduction","04742",0.968861287514539,0.329,0.683198365583266,0.705002568740179,1
"189","Intestinal immune network for IgA production","04672",0.993792406955363,0.367,0.732587664115924,0.751968290150737,1
"190","Neuroactive ligand-receptor interaction","04080",0.99997893870127,0.415,0.779975167776866,0.795209567201318,1
"191","Autoimmune thyroid disease","05320",0.904532836280253,0.4625,0.782912512038411,0.795209567201318,1
"192","Renin-angiotensin system","04614",0.676081323223238,0.973,0.933333750200744,0.943055976765336,1
"193","Systemic lupus erythematosus","05322",0.999375449454449,0.7155,0.954880829508544,0.959828398573356,1
"194","Asthma","05310",1,0.9275,0.997305954374257,0.997305954374257,1
