"","Names","ID","pl","pb","p","pFdr","pFWER"
"1","Neurotrophin signaling pathway","04722",2.35789550374271e-05,5e-06,2.81311418443297e-09,4.29103198984867e-07,5.45744151779996e-07
"2","Synaptic vesicle cycle","04721",5.03320701701859e-05,5e-06,5.8140941752407e-09,4.29103198984867e-07,1.1279342699967e-06
"3","ErbB signaling pathway","04012",5.77895167129856e-05,5e-06,6.63561647914743e-09,4.29103198984867e-07,1.2873095969546e-06
"4","Focal adhesion","04510",1.37140328617012e-06,5e-04,1.51544029943006e-08,7.34988545223578e-07,2.93995418089431e-06
"5","AMPK signaling pathway","04152",0.000427944961345503,5e-06,4.48541708645417e-08,1.74034182954422e-06,8.70170914772109e-06
"6","Long-term depression","04730",0.000548339423492026,5e-06,5.67934023591574e-08,1.83632000961276e-06,1.10179200576765e-05
"7","PI3K-Akt signaling pathway","04151",2.9698904486223e-06,0.0035,2.01468227626637e-07,5.58354802279536e-06,3.90848361595675e-05
"8","Prostate cancer","05215",0.00386443011063694,5e-06,3.62522453432507e-07,8.45104195508031e-06,7.03293559659063e-05
"9","Chronic myeloid leukemia","05220",0.00433139841007992,5e-06,4.0385823367819e-07,8.45104195508031e-06,7.83484973335689e-05
"10","FoxO signaling pathway","04068",0.0051037910563141,5e-06,4.71688396545559e-07,8.45104195508031e-06,9.15075489298384e-05
"11","Renal cell carcinoma","05211",5.43959621763566e-05,5e-04,5.00990159473615e-07,8.45104195508031e-06,9.71920909378814e-05
"12","Retrograde endocannabinoid signaling","04723",0.00603608389314677,5e-06,5.52786750559218e-07,8.45104195508031e-06,0.000107240629608488
"13","cGMP-PKG signaling pathway","04022",0.00638155442520566,5e-06,5.82649199563048e-07,8.45104195508031e-06,0.000113033944715231
"14","Hepatitis B","05161",3.58007521346457e-05,0.001,6.4961527795846e-07,8.45104195508031e-06,0.000126025363923941
"15","Dopaminergic synapse","04728",3.60233491327561e-05,0.001,6.53431079001055e-07,8.45104195508031e-06,0.000126765629326205
"16","GnRH signaling pathway","04912",0.00900669281052373,5e-06,8.06813236287848e-07,9.78261048999016e-06,0.000156521767839843
"17","Glutamatergic synapse","04724",0.0110608616823641,5e-06,9.7946225445895e-07,1.11773927861786e-05,0.000190015677365036
"18","NOD-like receptor signaling pathway","04621",0.0159967761717012,5e-06,1.38703572781089e-06,1.4667305994996e-05,0.000269084931195312
"19","Tuberculosis","05152",0.0166027163001119,5e-06,1.43648873146868e-06,1.4667305994996e-05,0.000278678813904923
"20","Cholinergic synapse","04725",0.0184587532070858,5e-06,1.58729488313821e-06,1.53967603664406e-05,0.000307935207328812
"21","Endocytosis","04144",0.000111984226677207,0.001,1.90428145068661e-06,1.75919334015811e-05,0.000369430601433203
"22","Non-small cell lung cancer","05223",0.0252668403478054,5e-06,2.13306899001053e-06,1.86918986454046e-05,0.000413815384062043
"23","Gastric acid secretion","04971",0.0263129990161539,5e-06,2.21604983940363e-06,1.86918986454046e-05,0.000429913668844305
"24","Apelin signaling pathway","04371",0.0277361535460546,5e-06,2.32860141589372e-06,1.88228614451409e-05,0.000451748674683382
"25","HTLV-I infection","05166",0.037189011935163,5e-06,3.0676871175196e-06,2.38052520319521e-05,0.000595131300798803
"26","B cell receptor signaling pathway","04662",0.047152102450543,5e-06,3.83357186249752e-06,2.86043438970969e-05,0.000743712941324519
"27","Endometrial cancer","05213",0.0515151022806863,5e-06,4.16549904161376e-06,2.99298820027062e-05,0.000808106814073069
"28","Acute myeloid leukemia","05221",0.0625056196690522,5e-06,4.99375255176358e-06,3.45995712515048e-05,0.000968787995042135
"29","GABAergic synapse","04727",0.0680709703970569,5e-06,5.40935396856163e-06,3.61867127552054e-05,0.00104941466990096
"30","Morphine addiction","05032",0.0787147972398587,5e-06,6.19800186181901e-06,4.00804120397629e-05,0.00120241236119289
"31","Signaling pathways regulating pluripotency of stem cells","04550",0.0925700878940092,5e-06,7.21392301139574e-06,4.51451956197024e-05,0.00139950106421077
"32","Insulin signaling pathway","04910",0.000275258665967314,0.002,8.48479739904708e-06,5.14390842317229e-05,0.00164605069541513
"33","T cell receptor signaling pathway","04660",0.128458080497741,5e-06,9.80021166612146e-06,5.76133655523504e-05,0.00190124106322756
"34","Pathways in cancer","05200",0.000333066727671583,0.002,1.0139734112166e-05,5.78561299341234e-05,0.0019671084177602
"35","Huntington's disease","05016",0.144366352096684,5e-06,1.09295966488928e-05,6.05811928538632e-05,0.00212034174988521
"36","Adrenergic signaling in cardiomyocytes","04261",0.00026249411054793,0.003,1.18550936237819e-05,6.38857823059359e-05,0.00229988816301369
"37","Vascular smooth muscle contraction","04270",0.169002275423109,5e-06,1.26615792788047e-05,6.63877400023815e-05,0.00245634638008811
"38","Phagosome","04145",0.185216866536729,5e-06,1.3791526202556e-05,7.0409370613049e-05,0.00267555608329586
"39","Progesterone-mediated oocyte maturation","04914",0.228375523161786,5e-06,1.67660024718332e-05,8.34001148598885e-05,0.00325260447953565
"40","mTOR signaling pathway","04150",0.000601113275669184,0.002,1.75901797322597e-05,8.53123717014595e-05,0.00341249486805838
"41","Hippo signaling pathway","04390",0.00132777491538555,0.001,1.92952330538976e-05,9.12993954257592e-05,0.00374327521245613
"42","Osteoclast differentiation","04380",0.330596308440947,5e-06,2.36590089485428e-05,0.000109282088952793,0.00458984773601729
"43","AGE-RAGE signaling pathway in diabetic complications","04933",0.00343894008225704,5e-04,2.45428460550111e-05,0.000110728189178422,0.00476131213467216
"44","Serotonergic synapse","04726",0.38493823473757,5e-06,2.72550609766038e-05,0.000120170041578662,0.00528748182946113
"45","Salivary secretion","04970",0.407219734677343,5e-06,2.87181028284059e-05,0.000123806932193572,0.00557131194871075
"46","MAPK signaling pathway","04010",0.00145008953880061,0.0015,3.05354492890954e-05,0.000128779938306185,0.0059238771620845
"47","Amoebiasis","05146",0.532904382245387,5e-06,3.68649553646007e-05,0.000152165985973032,0.00715180134073253
"48","SNARE interactions in vesicular transport","04130",0.00548057670509968,5e-04,3.78363873022141e-05,0.000152922065346449,0.00734025913662953
"49","Sphingolipid signaling pathway","04071",0.00366308967910791,0.001,4.95147289684253e-05,0.000196037906528051,0.00960585741987451
"50","HIF-1 signaling pathway","04066",0.000937008384369647,0.004,5.05770111763409e-05,0.000196238803364203,0.00981194016821013
"51","Circadian entrainment","04713",0.00259628919793995,0.0015,5.24033541791472e-05,0.000199338249230482,0.0101662507107546
"52","Hepatitis C","05160",0.00400878880348845,0.001,5.38260930777276e-05,0.000200812731866907,0.0104422620570792
"53","Leishmaniasis","05140",0.820466947928865,5e-06,5.49875073637915e-05,0.000201275026954256,0.0106675764285755
"54","Taste transduction","04742",0.869077870589501,5e-06,5.79952835755314e-05,0.000208124723608806,0.0112510850136531
"55","Fanconi anemia pathway","03460",0.885437519941009,5e-06,5.90044319509502e-05,0.000208124723608806,0.0114468597984843
"56","African trypanosomiasis","05143",0.961254969663586,5e-06,6.36619375788308e-05,0.000220543140898092,0.0123504158902932
"57","Colorectal cancer","05210",0.0130319456670376,5e-04,8.43248597330379e-05,0.000287000399793147,0.0163590227882094
"58","Glioma","05214",0.0030570730453652,0.0035,0.000133161558383244,0.000445402453902575,0.0258333423263493
"59","Regulation of actin cytoskeleton","04810",0.0023364318374549,0.0055,0.000157573067194973,0.00051812161077669,0.0305691750358247
"60","p53 signaling pathway","04115",0.0288788982152552,5e-04,0.000175375001663688,0.000567045838712592,0.0340227503227555
"61","Insulin resistance","04931",0.0157970932150233,0.001,0.000190444773532807,0.00060567682074368,0.0369462860653645
"62","Epithelial cell signaling in Helicobacter pylori infection","05120",0.00623253719623823,0.003,0.000222260654782511,0.000695460758513019,0.0431185670278071
"63","Th17 cell differentiation","04659",0.0390942315285083,5e-04,0.000231490291917895,0.000712843121143993,0.0449091166320715
"64","Chagas disease (American trypanosomiasis)","05142",0.0133277642200045,0.0015,0.00023630517908618,0.000716300074104984,0.0458432047427189
"65","Pancreatic cancer","05212",0.02334278591283,0.001,0.000272298793218674,0.000812707167452657,0.0528259658844227
"66","Adipocytokine signaling pathway","04920",0.0288788982152552,0.001,0.000330732676451795,0.000972153624721942,0.0641621392316482
"67","Proteoglycans in cancer","05205",0.0159224654504526,0.002,0.000361587482399871,0.00104370413156527,0.0701479715855751
"68","Type II diabetes mellitus","04930",0.00645106710016843,0.005,0.000365834437868239,0.00104370413156527,0.0709718809464383
