"","Names","ID","pl","pb","p","pFdr","pFWER"
"1","Thyroid hormone signaling pathway","04919",0.000222706013778644,5e-06,2.40697660127577e-08,3.1982841377083e-06,4.669534606475e-06
"2","Non-small cell lung cancer","05223",0.000376847882081073,5e-06,3.97381222653215e-08,3.1982841377083e-06,7.70919571947236e-06
"3","Pancreatic cancer","05212",0.000491029328534175,5e-06,5.11286236378083e-08,3.1982841377083e-06,9.91895298573481e-06
"4","Progesterone-mediated oocyte maturation","04914",0.000641550544422361,5e-06,6.59440028393463e-08,3.1982841377083e-06,1.27931365508332e-05
"5","Insulin signaling pathway","04910",0.00110698201185572,5e-06,1.10765674619399e-07,4.29770817523269e-06,2.14885408761634e-05
"6","HTLV-I infection","05166",0.00203135935169894,5e-06,1.97093887583173e-07,6.37270236518926e-06,3.82362141911356e-05
"7","Fc epsilon RI signaling pathway","04664",0.00287372825012086,5e-06,2.73840692948473e-07,6.69656443276717e-06,5.31250944320039e-05
"8","Phospholipase D signaling pathway","04072",0.00289927739567588,5e-06,2.76146986918234e-07,6.69656443276717e-06,5.35725154621374e-05
"9","Phosphatidylinositol signaling system","04070",0.00385874765038175,5e-06,3.62017772848222e-07,7.80349421472835e-06,7.02314479325551e-05
"10","Axon guidance","04360",0.00503654857064285,5e-06,4.65807886198991e-07,9.03667299226043e-06,9.03667299226043e-05
"11","AGE-RAGE signaling pathway in diabetic complications","04933",0.0102909595552958,5e-06,9.14998138232101e-07,1.61372398924571e-05,0.000177509638817028
"12","MAPK signaling pathway","04010",0.0129319729777683,5e-06,1.13504736071332e-06,1.72811955021076e-05,0.000220199187978385
"13","Non-alcoholic fatty liver disease (NAFLD)","04932",0.0132096765401848,5e-06,1.15801825529587e-06,1.72811955021076e-05,0.000224655541527399
"14","mTOR signaling pathway","04150",0.0158079357445437,5e-06,1.37160050942017e-06,1.90064642019653e-05,0.000266090498827513
"15","GnRH signaling pathway","04912",0.0176465592909383,5e-06,1.52142344100644e-06,1.96770765036833e-05,0.00029515614755525
"16","Shigellosis","05131",0.0222144389792037,5e-06,1.88968074206161e-06,2.29123789974971e-05,0.000366598063959953
"17","Ras signaling pathway","04014",0.0260799678923383,5e-06,2.19758421308479e-06,2.50783139610853e-05,0.00042633133733845
"18","Proteoglycans in cancer","05205",0.0292805721671018,5e-06,2.45033058238622e-06,2.60905801931019e-05,0.000475364132982926
"19","SNARE interactions in vesicular transport","04130",0.0306160628614013,5e-06,2.55526300860276e-06,2.60905801931019e-05,0.000495721023668935
"20","Renal cell carcinoma","05211",0.0454527020628947,5e-06,3.70374880214376e-06,3.59263633807945e-05,0.000718527267615889
"21","Adherens junction","04520",0.0509344132353462,5e-06,4.12143168139516e-06,3.80741783900315e-05,0.000799557746190661
"22","mRNA surveillance pathway","03015",0.0545670371588506,5e-06,4.39657475567964e-06,3.87697955728113e-05,0.00085293550260185
"23","Osteoclast differentiation","04380",0.0604332038261695,5e-06,4.83836969633831e-06,4.08105965691145e-05,0.000938643721089633
"24","Insulin resistance","04931",0.0730622765312477,5e-06,5.78014510349757e-06,4.67228395866054e-05,0.00112134815007853
"25","B cell receptor signaling pathway","04662",0.0846438617823178,5e-06,6.63412151471475e-06,5.14807829541865e-05,0.00128701957385466
"26","Fc gamma R-mediated phagocytosis","04666",0.0932159115522431,5e-06,7.26101124670514e-06,5.25432309688255e-05,0.0014086361818608
