"","Names","ID","pl","pb","p","pFdr","pFWER"
"1","Protein processing in endoplasmic reticulum","04141",8.75909756088681e-05,0.013,1.67222822532121e-05,0.00183979984346099,0.00322740047486993
"2","Vibrio cholerae infection","05110",0.000148619187952928,0.0115,2.44054424128039e-05,0.00183979984346099,0.00471025038567115
"3","Cocaine addiction","05030",0.405385901216266,5e-06,2.8597925027891e-05,0.00183979984346099,0.00551939953038297
"4","SNARE interactions in vesicular transport","04130",0.000454729892175879,0.024,0.000135606002360876,0.00654298961391226,0.026171958455649
"5","Circadian rhythm","04710",0.00344233865936439,0.0065,0.000261958951104726,0.00888824972257063,0.0505580775632121
"6","Epithelial cell signaling in Helicobacter pylori infection","05120",0.00139859487135329,0.018,0.000291766572805191,0.00888824972257063,0.0563109485514019
"7","Pathways in cancer","05200",0.001808477783637,0.016,0.000331325755967253,0.00888824972257063,0.0639458709016798
"8","Proteoglycans in cancer","05205",0.00197005511477345,0.0165,0.000368424858966658,0.00888824972257063,0.071105997780565
"9","Insulin signaling pathway","04910",0.00204314400896638,0.0275,0.000606074061921764,0.0129969215501001,0.116972293950901
"10","Hypertrophic cardiomyopathy (HCM)","05410",0.00482351463124997,0.015,0.000762160473189196,0.0141430110715498,0.147096971325515
"11","Adipocytokine signaling pathway","04920",0.00439853434156077,0.0175,0.000806078351228226,0.0141430110715498,0.155573121787048
"12","Dopaminergic synapse","04728",0.0079173592544712,0.0115,0.000938185035253691,0.0150891426503302,0.181069711803962
"13","Endocytosis","04144",0.0203945588207969,0.0055,0.00113241234059073,0.0163190562228709,0.21855558173401
"14","Estrogen signaling pathway","04915",0.00561102617700956,0.021,0.00118376573637405,0.0163190562228709,0.228466787120192
"15","Insulin resistance","04931",0.0143393558978863,0.009,0.00128477047686106,0.0165307134689456,0.247960702034184
"16","Aldosterone synthesis and secretion","04925",0.0215142058708445,0.0075,0.00157030479599907,0.0189418016017387,0.30306882562782
"17","Dilated cardiomyopathy","05414",0.00493797931220172,0.036,0.00171279380040934,0.0194452472634707,0.330569203479002
"18","AMPK signaling pathway","04152",0.00671169990759405,0.031,0.00197194981061881,0.0211436840805239,0.38058631344943
"19","Glucagon signaling pathway","04922",0.00447985941189686,0.0515,0.00216277917950341,0.02145216022873,0.417416381644159
"20","NOD-like receptor signaling pathway","04621",0.00985903321736854,0.026,0.00237597449208263,0.02145216022873,0.458563076971948
"21","Oxytocin signaling pathway","04921",0.0155872791470523,0.018,0.00257527267876662,0.02145216022873,0.497027627001958
"22","cGMP-PKG signaling pathway","04022",0.0184971966325683,0.0155,0.0026253865797158,0.02145216022873,0.506699609885149
"23","Complement and coagulation cascades","04610",0.591027935211692,5e-04,0.00269709524078224,0.02145216022873,0.520539381470971
"24","Longevity regulating pathway","04211",0.0416249142101276,0.0075,0.0028321306446319,0.02145216022873,0.546601214413957
"25","Long-term depression","04730",0.00796300318086325,0.04,0.00288318841602414,0.02145216022873,0.556455364292659
"26","Small cell lung cancer","05222",0.0124133446303713,0.026,0.00291719421416375,0.02145216022873,0.563018483333604
"27","Prostate cancer","05215",0.0171279062346084,0.02,0.00307585310921274,0.02145216022873,0.593639650078058
"28","Renal cell carcinoma","05211",0.0349802391114931,0.01,0.00313357954742456,0.02145216022873,0.604780852652939
"29","Shigellosis","05131",0.0349802391114931,0.0105,0.00327233826290196,0.02145216022873,0.631561284740078
"30","Platelet activation","04611",0.0159645322718863,0.0235,0.00333453267804094,0.02145216022873,0.643564806861901
"31","Adrenergic signaling in cardiomyocytes","04261",0.025237123953984,0.019,0.004144247543162,0.0258012830912989,0.799839775830267
"32","Gap junction","04540",0.0381428943215039,0.0135,0.00441370496851045,0.0264764768855346,0.851845058922517
"33","Hepatitis C","05160",0.0166323181140957,0.0325,0.00460706880179685,0.0264764768855346,0.889164278746792
"34","Inflammatory bowel disease (IBD)","05321",0.367450782305398,0.0015,0.00468690237555618,0.0264764768855346,0.904572158482343
"35","Endocrine and other factor-regulated calcium reabsorption","04961",0.0514970897060465,0.011,0.00480143363209176,0.0264764768855346,0.92667669099371
"36","Sphingolipid signaling pathway","04071",0.0197850887440296,0.03,0.00500328368058621,0.0268231597320316,0.965633750353139
"37","Pancreatic cancer","05212",0.0313923896206144,0.0205,0.00537263996214834,0.0280248516944494,1
"38","GnRH signaling pathway","04912",0.0136517944437491,0.0495,0.00560861465996006,0.0284858586676919,1
"39","Hepatitis B","05161",0.025237123953984,0.028,0.0058333017392781,0.0288673650174532,1
"40","Amoebiasis","05146",0.0396256975876877,0.0185,0.00602460573911528,0.0290687226912312,1
"41","Adherens junction","04520",0.0340856823677056,0.023,0.00639025403802958,0.0300809519351148,1
"42","Thyroid hormone signaling pathway","04919",0.0558858267109435,0.0145,0.00657841796284362,0.0302293968292576,1
"43","Thyroid hormone synthesis","04918",0.00352051416196213,0.242,0.00687361984789988,0.0305491776559379,1
"44","Insulin secretion","04911",0.0564469840849452,0.0155,0.00703562064574907,0.0305491776559379,1
"45","Neurotrophin signaling pathway","04722",0.0394369320393702,0.0225,0.00712286525656584,0.0305491776559379,1
"46","Herpes simplex infection","05168",0.0457021538232552,0.023,0.00825979738212034,0.0342922961798733,1
"47","Vasopressin-regulated water reabsorption","04962",0.00140522298622856,0.7715,0.008485457888187,0.0342922961798733,1
"48","MAPK signaling pathway","04010",0.0807747776577714,0.0135,0.00852865397219647,0.0342922961798733,1
"49","Apelin signaling pathway","04371",0.0287116591429847,0.04,0.00892281168742765,0.0351449521566028,1
"50","Cell adhesion molecules (CAMs)","04514",0.118979249175926,0.011,0.00999727043996829,0.0385894638982776,1
"51","FoxO signaling pathway","04068",0.092426327315548,0.015,0.0105103270385588,0.0395168039926278,1
"52","Renin secretion","04924",0.072163505349928,0.0195,0.0106470145472365,0.0395168039926278,1
"53","Glutamatergic synapse","04724",0.0484489452756591,0.0305,0.0111082208716395,0.0404506910986117,1
"54","PI3K-Akt signaling pathway","04151",0.0839893792533824,0.0185,0.011602327725902,0.040872326037564,1
"55","Fluid shear stress and atherosclerosis","05418",0.312159859115772,0.005,0.0116475540521555,0.040872326037564,1
"56","Bacterial invasion of epithelial cells","05100",0.0946777313442126,0.018,0.0125678893690461,0.0426200600528001,1
"57","Chagas disease (American trypanosomiasis)","05142",0.175024173823453,0.01,0.0128607786806692,0.0426200600528001,1
"58","Gastric acid secretion","04971",0.0455949872634887,0.0385,0.0128935602163005,0.0426200600528001,1
"59","Chemokine signaling pathway","04062",0.0609066509486495,0.03,0.0133476391949028,0.0426200600528001,1
"60","HTLV-I infection","05166",0.118408446723802,0.0155,0.0133988893413294,0.0426200600528001,1
"61","Salmonella infection","05132",0.284110222528077,0.0065,0.0134705889286052,0.0426200600528001,1
"62","T cell receptor signaling pathway","04660",0.276478000052939,0.007,0.0140263604456624,0.0431600814018763,1
"63","Ras signaling pathway","04014",0.0720481587320817,0.027,0.0140885239809234,0.0431600814018763,1
"64","Prolactin signaling pathway","04917",0.306189935211762,0.007,0.0153149357879911,0.0461841032356607,1
"65","GABAergic synapse","04727",0.204507339953653,0.0125,0.0178156007997293,0.0528986300668885,1
"66","Circadian entrainment","04713",0.124175993740458,0.022,0.018857478329232,0.0551438381445724,1
"67","Amyotrophic lateral sclerosis (ALS)","05014",0.280374695848135,0.01,0.0192808030380933,0.0555402236768957,1
"68","Prion diseases","05020",0.066470719585968,0.0465,0.0209540499471157,0.0594725241146078,1
"69","Vascular smooth muscle contraction","04270",0.0778618218418893,0.041,0.0215386909708728,0.0600737271788143,1
"70","Focal adhesion","04510",0.0624757724184238,0.054,0.0225758936474339,0.0600737271788143,1
"71","B cell receptor signaling pathway","04662",0.764625620674532,0.0045,0.0229572807750101,0.0600737271788143,1
"72","Chronic myeloid leukemia","05220",0.0627216700654935,0.0555,0.0231852748080316,0.0600737271788143,1
"73","Retrograde endocannabinoid signaling","04723",0.165905733899719,0.021,0.0232020721050215,0.0600737271788143,1
"74","Arrhythmogenic right ventricular cardiomyopathy (ARVC)","05412",0.0340856823677056,0.1025,0.0232573073220774,0.0600737271788143,1
"75","Fc gamma R-mediated phagocytosis","04666",0.350923993006148,0.01,0.0233447126342542,0.0600737271788143,1
"76","Pancreatic secretion","04972",0.124175993740458,0.03,0.0245593292831566,0.062367770416437,1
"77","Cell cycle","04110",0.3126649253131,0.0125,0.0255785306001646,0.0632556192787317,1
