"","Names","ID","pl","pb","p","pFdr","pFWER"
"1","MAPK signaling pathway","04010",0.000236499476119471,5e-04,2.00438828566291e-06,0.000373141216672191,0.000386846939132941
"2","Pathways in cancer","05200",0.000158792598595573,0.0015,3.87061765477418e-06,0.000373141216672191,0.000747029207371416
"3","Wnt signaling pathway","04310",9.16648316318147e-05,0.004,5.80012253894598e-06,0.000373141216672191,0.00111942365001657
"4","Signaling pathways regulating pluripotency of stem cells","04550",0.000483009313151299,0.0015,1.09675220633205e-05,0.000430250612302597,0.00211673175822086
"5","TNF signaling pathway","04668",0.000737173454482133,0.001,1.11463889197564e-05,0.000430250612302597,0.00215125306151299
"6","Focal adhesion","04510",0.320418967720278,5e-06,2.29807663982582e-05,0.000739214652477304,0.00443528791486383
"7","Pancreatic cancer","05212",0.00380795500172673,5e-04,2.69823417467995e-05,0.000743941708161758,0.0052075919571323
"8","Non-alcoholic fatty liver disease (NAFLD)","04932",0.440505446634476,5e-06,3.0892437984685e-05,0.000745280066380525,0.0059622405310442
"9","ECM-receptor interaction","04512",0.562484491312395,5e-06,3.87592998554743e-05,0.000764170699221616,0.00748054487210653
"10","Insulin secretion","04911",0.575562668225158,5e-06,3.9594336747234e-05,0.000764170699221616,0.00764170699221616
"11","HTLV-I infection","05166",0.000244060506104562,0.014,4.64239917972779e-05,0.000814530037897695,0.00895983041687464
"12","Hippo signaling pathway","04390",0.000888478090114578,0.0045,5.36938877796421e-05,0.000863576695122577,0.0103629203414709
"13","Cytokine-cytokine receptor interaction","04060",0.935618979147687,5e-06,6.20905740247575e-05,0.00091027572163833,0.0119834807867782
"14","Morphine addiction","05032",1,5e-06,6.60303632276509e-05,0.00091027572163833,0.0127438601029366
"15","Colorectal cancer","05210",0.00301330246195809,0.002,7.84623386171458e-05,0.00100954875687394,0.0151432313531091
"16","Chronic myeloid leukemia","05220",0.000708065652809311,0.011,9.9406166279269e-05,0.00119908688074368,0.0191853900918989
"17","FoxO signaling pathway","04068",0.00207763173713274,0.0045,0.000117616644617792,0.00133529484771964,0.0227000124112339
